02.12.2012 23:37:37   A1  0,0  A2  0,0  D1  0,0  D2  0,0
03.12.2012 14:14:07 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:08 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:09 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:10 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:11 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:12 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:13 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:14 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:15 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:16 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:17 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:18 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:19 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:20 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:21 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:22 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:23 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:24 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:25 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:26 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:27 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:28 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:29 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:30 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:31 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:32 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
03.12.2012 14:14:33 - A1:0,0 A2:0,0 D1:0,0 D2:0,0
